Year,HomicideRate
2000,45.012212145
2001,45.09041262
2002,47.4725667
2003,44.799503
2004,44.530240019999994
2005,18.90525606
2006,17.91543805
2007,16.74180957
2008,16.46463811
2009,15.51968485
2010,14.26669828
2011,13.71813787
2012,13.44677299
2013,13.40854924
2014,13.51031696
2015,13.7040224
2016,13.95566931
2017,14.477758
2018,13.54616672
2019,13.50828653
2020,12.96197267
2021,12.53324422
