Country,Year,SuicideRate,AlcoholRate,HomicideRate,GDP_per_capita,SuicideRate_diff,AlcoholRate_roll3,HomicideRate_roll3,GDP_per_capita_roll3,Predicted_diff,Predicted_SuicideRate
South Africa,2001,13.24566946,8.742056228,19.76456747,2847.15191945908,0.11314525000000053,8.742056228,44.59905880333333,3094.28192947614,-0.028925466571177512,
South Africa,2001,13.24566946,8.742056228,70.41625777,2847.15191945908,0.0,8.742056228,44.648861193333325,2970.71692446761,-0.028913704785170868,13.216755755214828
South Africa,2001,13.24566946,8.742056228,43.84114367,2847.15191945908,0.0,8.742056228,44.67398963666667,2847.15191945908,-0.028924520572336965,13.216744939427663
South Africa,2002,14.59886891,8.4838378,19.73642146,2688.23676032806,1.35319945,8.655983418666667,44.66460763333333,2794.18019974874,-0.028276765207786502,13.217392694792213
South Africa,2002,14.59886891,8.4838378,75.20871194,2688.23676032806,0.0,8.569910609333332,46.26209235666666,2741.2084800384,-0.02615866739699958,14.572710242603
South Africa,2002,14.59886891,8.4838378,46.12779557,2688.23676032806,0.0,8.4838378,47.02430965666667,2688.23676032806,-0.024804870150848302,14.574064039849151
South Africa,2003,15.75987039,8.366665631,18.89167674,4062.21755993786,1.1610014799999995,8.444780410333333,46.74272808333333,3146.2303601979934,-0.02463280835743363,14.574236101642567
South Africa,2003,15.75987039,8.366665631,70.70732926,4062.21755993786,0.0,8.405723020666667,45.24226719,3604.2239600679263,-0.02557606619276849,15.734294323807232
South Africa,2003,15.75987039,8.366665631,43.57855754,4062.21755993786,0.0,8.366665631,44.392521179999996,4062.21755993786,-0.025923895858806726,15.733946494141193
South Africa,2004,16.07498067,8.343870926,18.40496991,5221.46333731721,0.31511027999999897,8.359067396,44.23028557,4448.63281906431,-0.02590739930871053,15.733962990691289
South Africa,2004,16.07498067,8.343870926,70.65551013,5221.46333731721,0.0,8.351469160999999,44.21301252666666,4835.048078190761,-0.025758256652158747,16.04922241334784
South Africa,2004,16.07498067,8.343870926,43.33753792,5221.46333731721,0.0,8.343870926,44.13267265333334,5221.46333731721,-0.025666822476067514,16.04931384752393
South Africa,2005,15.63631495,8.402675833,18.90525606,5836.87663325127,-0.4386657199999995,8.363472561666667,44.299434703333326,5426.601102628563,-0.025610871454330438,16.04936979854567
South Africa,2005,15.63631495,8.402675833,67.36535018,5836.87663325127,0.0,8.383074197333334,43.202714719999996,5631.7388679399155,-0.02671105319260195,15.609603896807398
